"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11436.0169720724","12021.9972500658","12241.2348799217","12957.5678456873","13857.295376919","13268.7596684407","14115.1662418244","14842.2602511211","15426.1417229866","15949.0434353505","17037.3808751235","16375.8133886858","16588.607512675","17741.6586743048","19057.1694874149","20684.0318578389","23727.1192138152","26274.2613954095","26377.1557538872","23015.8744378379","21175.3833088773","20939.3312746697","20208.9392876727","19437.6169691726","19748.6253844293","19674.5632961557","20790.4191719618","20777.5594989337","22603.192865209","23880.2212735947","19839.9255890474","21958.688709215","25336.6425986007",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17381.4400129867","17836.1740048755","18254.3578855016","19216.5661947223","20170.957675197","21037.2241707189","22130.4774533638","23123.4268586218","24377.4178638635","25468.2183053741","26521.0784018233","27626.0599698301","29016.6783446771","30106.2907018786","31746.5324539484","33018.163222623","34822.9751646044","36628.96879145","37517.8538515397","40306.6427837685","39363.6180573612","42018.1179436528","42847.2967465311","45907.7546796056","46882.1855716637","46251.4086848715","47249.4348152753","48400.2457875228","50192.9573282841","51909.0151023258","53066.4909886668","55947.0522280521","62625.357642365",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19473.0819594859","20617.5829787127","21293.2648588333","21732.8710942007","22642.8477256733","23698.109130502","24560.6240085942","25426.662812476","26675.6502354234","27606.4830303088","29381.6848770115","29708.49357024","31178.6933297272","32145.8705108106","33774.0180945488","35013.7140443423","37659.732973109","39435.60573762","41316.225176699","40918.5200993586","42007.2937461255","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56937.944282984","59704.2233778226","57258.6902272271","59962.8270521703","67935.8479736373",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.44660826408","5321.81099375037","4149.74660557513","3217.65149470211","2603.60192877256","2317.59069546393","2366.63815438445","2522.62837120686","2779.61552655268","3000.92505671238","3381.66620983258","3770.85228711686","4159.94056320335","4639.79442615882","5159.85941090733","6740.4240629969","9243.49764554313","11732.8414907335","12969.2003782405","13972.5947839401","14678.7737395302","14804.5744507911","15957.7188502849","17188.9455056612","17443.8782563094","14938.4011276715","14371.0227410092","14121.4069355591","14551.2001141105","15054.544606509","14495.6569721312","15927.2101484962","17764.4455885439",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.371647541677","648.330867116989","652.512222508418","647.477043592149","632.424953909955","559.836299430181","524.681068398009","525.83172726084","546.719839805259","535.962337056464","532.425919852103","542.030190166285","559.112337329033","545.775539314511","566.091631453863","567.700700411859","595.205565689488","609.593595544823","625.243739608448","620.896733786154","630.358192954177","646.103127483227","651.952327282116","696.497000211236","728.870060256426","797.05011411535","766.587220607525","750.787616270977","758.249031649132","760.604126130591","751.200911871257","787.942778733935","836.18756902761",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18688.6467366551","19601.8239024872","20272.9885926744","20473.7868382439","21519.3380677459","22447.4638004465","22744.6996622345","23732.2210706898","24369.4867183382","25440.8411888638","27789.9435461287","28793.6110538361","30282.2886450283","30934.4414026198","32063.2607941715","33177.8909458158","35256.9283814906","36795.8471504369","37883.3319417819","37749.9091897753","39838.040511042","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52530.5620821347","55804.8189232341","54569.9253850181","58840.7022747126","65027.2948954044",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220.21458185828","1275.135741128","1302.24047956983","1349.49034534688","1354.59080377176","1436.73762604785","1487.59807779095","1554.14549343527","1584.96540576118","1642.173164791","1724.54671037395","1802.32459760145","1858.76676518554","1902.50292259119","1979.29289911841","2011.39667736316","2090.28425488276","2210.7927096781","2294.86987751056","2294.60279263052","2302.6877910018","2350.35645152303","2427.43265922317","2590.92504537631","2745.85861163361","2792.60964526702","2901.26467091701","2933.8373843172","3113.25492864312","3290.30720194405","3364.97321817986","3665.19402835522","4056.10834076599",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.630146341943","625.178195411171","625.322827184169","646.047073403215","651.879799348004","685.788688392577","755.708141447607","796.589149193638","840.984430760182","889.501251044902","899.584820546202","951.314407021718","977.668518493994","1041.89856330638","1083.24931305826","1176.3572973137","1248.87304213661","1295.4671174055","1356.37219555766","1364.89564531445","1454.57874744176","1536.80894422349","1568.0668585351","1629.31783621598","1637.92805098986","1657.91610692212","1833.43305343067","1978.15501161376","2100.53092354319","2199.55250641589","2211.01143962532","2405.30611833427","2545.86354868676",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.948003418894","1028.28858970224","1088.74013682352","1144.97083250575","1191.83518519025","1255.4876301115","1313.07393811762","1370.95971760906","1431.06189691372","1490.19028016809","1574.33157000775","1659.71135593413","1717.97006166662","1803.13815313436","1916.45203805736","2074.01158542506","2253.20981718595","2451.54221317623","2625.40635940305","2751.2178775571","2906.05192049693","3119.92997298099","3493.92282116642","3734.72565095224","3997.28670058811","4216.71973916456","4558.56389477538","4830.7760826813","5247.69470722744","5699.07814661162","5904.56737548497","6522.5558405934","7395.09598677725",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7551.6080111742","7218.80173370119","6920.28478963557","7035.35126623231","7341.10768931866","7743.44322933175","6848.99369971199","5750.51171536098","6177.94084712058","5807.79182219793","6422.83277066238","6960.08330374242","7786.4484224601","8417.38546012655","9201.56567500039","10291.4238650414","11406.4859464649","12820.8099858108","14346.8955358868","14181.9496606098","14956.357308919","15747.0795962298","16327.8584708922","16647.0098720736","17616.9540727435","18391.8968113244","20074.26478835","21469.9708893116","23016.0668039048","25170.2159956367","25296.0709365879","28113.1172301145","33582.2826109196",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25731.1649187926","28594.0918342748","30129.9623716511","33643.6304591696","33149.5742476964","34045.3942781628","34962.9567076082","35548.6561420837","36559.2764541062","37570.9167849775","39360.4320898099","40186.9453085917","41161.5625780613","42900.8133510832","44006.7127561133","44780.1156664312","45651.591942431","47380.1664464359","48078.8438742404","46708.7358567087","47929.443463014","49960.2678680839","53778.4886740831","53672.1042194471","52073.9846164495","45900.7030253586","45281.3019203255","48929.4470119951","50114.1503913545","51879.7363438765","50682.7595647482","54901.5126284982","61227.8972211496",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20002.7566063667","19428.3572930078","18710.0329956853","18799.7135045448","19412.841903513","20303.9975527411","21168.8809689023","22625.8831654612","21487.9821619647","24076.6658694686","25269.6180593249","26146.2246218724","26914.6036364937","26739.4318805505","27328.2988602734","28747.1631073826","29961.367908892","30779.6945671317","30207.9556391706","28715.5719610069","29095.4846700745","29512.3200324802","30169.9090943945","29845.7022928189","31255.2112660817","31746.8033825774","32112.2038931048","34067.8461834433","35167.3994998896","35299.1114915221","27224.4708566162","33162.2654340922","40378.5517454402",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.249473725338","1166.99943300097","2155.16460749926","2844.360968683","3270.70034489485","3601.98149973204","4127.63808651098","4290.62576157003","4653.1316468785","4911.65996395048","5405.60880256589","5959.02483138061","6878.34557434791","7696.15172833962","8595.82565067715","8698.94715311476","9089.13614471176","9758.02189950307","10109.4006876473","10788.2680830719","11148.3878335826","11826.0660139863","12869.7684039048","13582.1847524863","14801.2630028626","16118.6668035776","15860.1045221546","17705.8069770753","20376.8921942473",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5226.139654438","5335.57880421629","4922.45721634642","4645.89357402675","4194.88109419708","3849.89723270292","4043.74990480274","4601.50308460716","5066.94283697855","5337.01583982898","5801.75812955794","6244.74774377741","6704.59227948782","7369.84590615974","8491.89483925912","9647.12118059938","11006.4559116376","12332.50291934","13898.9996765797","14050.5715635795","15361.8317068327","16563.2014078209","18105.2867180444","18994.1901887615","19007.9973242876","18095.7034185545","17785.9431970966","18356.0660575514","19430.9092097721","20106.0689126376","20317.231920485","21928.6857574651","22590.5909223364",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4531.42366199298","5112.74534218285","5740.60689917084","6118.51529464146","6127.7313450876","6137.28124174879","6124.78279837328","6237.3647175232","6328.21897232367","6756.76285163768","7559.29595353417","7867.53701468187","8139.93002288877","8799.76901844963","9171.967861638","9383.18477147453","9823.53698899048","10123.3439800478","9878.20697420947","9628.79510749406","9623.86868033156","9592.13083070436","9113.47485341427","9314.22500902774","9246.7237525975","9317.19683592962","9161.6250471445","8873.7540251936","9010.06059585008","9411.46284753878","8134.59827208937","9668.76628862162","11450.9168995378",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34870.7477537551","34955.5582770959","35990.578111392","37749.2083732918","38518.4174421737","40763.3866085376","42317.9241727648","44753.9587284979","46678.6017993544","48664.5399508505","53921.7736769822","58484.1524018877","58138.3998128493","60908.0397060905","63578.1922805251","66239.4667912365","71656.7235772631","75627.2475293548","75193.3463873599","71022.3078466874","70627.8221941123","69998.8434204712","67453.8205236015","68993.2274876771","68775.4467426718","71873.2280578182","76362.0514142141","81834.9558735543","83380.8749006674","85145.9436381068","80381.4454933195","86699.2519910027","95837.0324194888",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2294.72891353634","2446.01566050183","2491.52670796534","2606.57580088191","2732.4421138578","2865.22704633664","2988.5721005623","3132.592372612","3267.2261367183","3267.43222632468","3364.02436571423","3436.37487036006","3514.59137568506","3617.40341020172","3802.81090401932","4025.10904617997","4273.03812270534","4509.2105538811","4794.60369958426","4902.61057678333","5079.38272115006","5363.98790270809","5814.07013496348","6500.87680686824","6920.77886136151","6992.12758144741","7345.82684148722","8244.93344575115","8669.82784866231","8890.46295366602","8110.11475624002","8885.24133402223","9683.61749663174",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6617.94470340613","6793.80794114951","6797.15394123758","7183.8958657829","7644.2186022331","8008.05893035068","8208.219592588","8504.68147854479","8503.69788718713","8541.7107251543","8994.74306173275","9202.87648388982","9510.82388258312","9693.55548229648","10407.8393520952","10954.8602631484","11614.4985380566","12522.5159385831","13281.0743858475","13222.7488780015","14254.5197697447","14989.1577837574","14994.3434693981","15535.723765174","15664.8017411414","14692.6323066956","14208.1611051807","14477.8617680601","14971.0546665932","15307.9412354827","14900.104216322","16260.0987486322","17821.7372609877",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9647.54639731515","9565.10321543554","9197.45960887253","9461.67074937887","9831.0262567862","10216.2511689052","10796.8233846464","11484.7770833201","12027.9671078777","12213.8278270122","13022.0096218854","12965.1468121475","13217.201339349","13717.521690709","14231.0706191453","15202.8525992517","16571.6326649349","17307.8720644454","17675.1852019102","16824.5570813662","16568.3689564998","16749.0393461095","15726.2358029347","15747.1370908403","15575.9507292616","15947.4215222808","16370.7456228065","16198.9621604366","16388.5995351293","16631.4643907325","14579.0903803084","15177.8497084244","17837.4532247473",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55168.2508834989","57099.0256481043","59512.9401993712","59542.9697581132","61175.5485066134","63693.0916485975","65179.1360653858","63863.7108049069","62830.2712988","64276.500587034","66212.6098228208","68169.5022821683","70522.9035780364","72627.3339025796","73618.9315037168","74921.4136118765","79312.3333137377","80302.2199299065","79040.2883075579","76993.474621141","78784.8272242349","82300.6560453021","86588.6095204115","82305.276253661","80027.9852998551","61572.6217036362","55477.4693975286","60173.0511336013","61084.2580438679","64029.4429997241","65054.1943212652","66347.6581403339","69274.9841410867",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1480.70036254856","1499.64214241707","1668.35151961215","1825.78342356075","1955.52144416999","2112.33085062706","2228.64532209768","2347.96987847424","2468.42702394111","2637.51697614612","2710.77622880027","2923.4768709388","3211.22207819505","3444.10591434036","3660.44500142716","3968.93354181365","4313.17139364825","5178.81318302249","5466.31780694291","5805.76196223259","6504.34793351835","7090.94827651626","7697.50641546979","7785.21406413651","8462.79859927604","9303.94598245162","10275.1605932496","10986.8881359297","11503.8472070019","12297.6207344782","11137.8310046808","12036.3640775011","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5817.92763944786","6280.19728482273","6424.04800233803","6511.8052820716","6702.91354425197","7134.36250896976","7501.26459253881","8076.12620959155","8023.18632459325","8733.65001794038","8922.18535024788","8964.66118464459","9478.37060714462","9936.89142028114","10298.0937912493","10907.1413460218","11957.3278088077","12739.0391370277","13136.1690418115","11119.5760629412","12139.4985301962","12976.260675745","12069.4687672148","12833.2783556398","14338.5740818842","13420.506600771","15277.0423219562","14656.772988721","15321.7802005207","15759.1622308192","14303.9361130174","16449.3462295479","18323.0457028393",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634.177324496431","632.015969546095","585.952580583949","582.872800890118","605.155294740502","644.367978720642","613.65127454276","639.2801578056","658.470255389713","672.80711761996","652.393760718375","681.360011221161","701.340145279042","660.417846049021","703.37720097409","715.726242711717","757.618328911279","798.836079380152","813.832069367003","870.422304732301","902.781584213177","945.593128485274","1024.24756278492","683.96563252261","670.103823403593","733.749580708051","787.471168424675","839.600009452135","875.193717756484","898.315319932093","895.251477184961","924.151424277887","967.268323827568",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20229.7558681625","20224.6873311056","20626.2020585898","21440.0469855991","22632.8340863081","23485.6419280396","24050.1750062174","25258.8605604948","26319.6741635105","27841.3533496575","29362.0841609786","30230.8029655917","30963.0530022941","32349.9436608677","33925.7067319515","36327.2286544972","38119.4131958397","39575.3097484091","40376.3068799056","38865.4134577266","40099.4482394377","41666.7076267956","42290.9654102745","44298.5787342765","45753.7505547994","44670.0805385838","46472.3402486315","48317.1745835151","49992.7622757708","49832.4053770764","47226.3651403334","53023.4205562458","58399.5454813184",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7097.37311025508","6651.24823873043","6692.46602906235","6961.17378153846","7400.69502253003","7996.03773620798","8402.10459801247","8706.26357393376","9097.38266187538","9396.46891785391","10016.4984305512","10800.3985271941","11630.6162109362","12340.9528294919","13483.5748419842","14312.6048423749","15919.4938336422","17761.8052481471","19673.5439417807","19701.1996197172","20823.3725810275","22309.0979986393","23107.0015690099","23859.9057899378","24926.9054010327","26134.6112223461","27753.5000677415","29830.0478578645","32011.7557561529","34957.2487355692","34847.1404825118","37716.7637530048","42799.3302860387",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28462.6228492261","28793.5407514053","29114.0809483982","29496.7749272208","30266.9506614159","30843.4144940153","31508.7613472676","32733.9936152386","33858.672113166","34742.6318631555","36697.6280410218","37819.0143570459","38704.9584597242","38737.1272443757","40175.6445747107","41524.8488732932","46272.8579533375","50924.3729529876","53808.7841127066","52973.4632362094","54438.9787009438","57493.5810559211","59440.9158607666","61656.4661708516","63417.0437157565","65265.04573356","67350.7518747757","68193.5054944094","70688.8187491194","72668.747107339","70810.8206896136","75979.7662211492","83598.453356565",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4437.05552988861","4872.13995578051","5533.63295968144","6026.75035110841","6473.88719033574","7250.18915176003","7959.48618233352","8581.43503603827","8927.83631492067","8921.98438372254","9468.31879903061","9876.22627820737","10239.3851520206","10820.670884022","11735.1767912274","12685.0279639862","15676.5834281532","16875.7145632511","16550.4489136795","16118.3767465671","18104.7245956272","20330.5245995546","21584.6812677939","22425.5894162187","22779.4276696968","22691.4866247346","23492.2878562645","24546.9124208604","25564.536716881","25600.1927034849","24941.2350880403","28337.0732119833","30208.805531053",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","981.419207412383","1093.56622896778","1262.02548338516","1454.49159197342","1660.34687959376","1860.52506263619","2060.86809984499","2266.72883818974","2448.48229055564","2650.17868564885","2917.24252974442","3208.22995656918","3532.08165145822","3938.73027446337","4427.13100315158","5056.40472408493","5842.77863595453","6818.923409237","7581.45351258344","8305.76018512426","9254.77960342973","10292.9404780675","11168.6972979775","11872.4973811617","12480.3385303781","12897.5022868592","13483.3772665319","14243.5326108491","15497.8257403033","16655.3993635093","17209.4429539743","19484.3080865205","21475.610527214",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.25353695449","2744.9106299685","2698.27946553165","2657.9322731335","2640.38055219923","2787.38001974434","2952.26236674366","3180.31730296334","3242.54752912108","3227.52017112998","3202.95174245373","3121.72784842705","3007.35726347882","2852.0204336213","2952.04126240799","3005.99833166273","3116.37115251324","3166.67153731872","3310.47535004859","3379.41256449637","3577.70698188747","3384.93097904752","3483.68978873195","3801.61647098285","4254.23089586308","4579.85145969451","4693.67504516721","4836.04836654882","5060.59742975432","5350.01014090969","5377.39444624251","5866.49575762572","6538.29641989437",
